niveau_etude,region,smoker,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
aucun,Auvergne-Rhône-Alpes,non,3616.0,3.0,581.0,880.616,500.0
master,Occitanie,non,1727.0,4.0,576.0,801.002,19319.196148001323
bac,Auvergne-Rhône-Alpes,oui,1205.0,5.0,557.0,975.32,500.0
aucun,Bretagne,non,2329.0,5.0,453.0,645.9379999999999,500.0
doctorat,Corse,oui,2692.0,2.0,577.0,1042.914,3398.056868350395
doctorat,Provence-Alpes-Côte d’Azur,non,4219.0,3.0,617.0,792.73,30210.38076884105
aucun,Île-de-France,oui,1043.0,5.0,706.0,851.652,500.0
doctorat,Île-de-France,non,1234.0,0.0,580.0,706.9559999999999,37222.27624402957
master,Auvergne-Rhône-Alpes,oui,4411.0,1.0,599.0,1153.842,500.0
bac+2,Auvergne-Rhône-Alpes,non,4536.0,3.0,483.0,787.082,22791.084281492807
doctorat,Bretagne,non,819.0,5.0,667.0,949.402,30067.215410477864
aucun,Île-de-France,non,2070.0,2.0,577.0,739.762,17545.045868818048
doctorat,Auvergne-Rhône-Alpes,oui,2493.0,2.0,577.0,598.932,20817.4575589118
aucun,Bretagne,non,1873.0,4.0,825.0,620.522,14792.258324997892
bac,Hauts-de-France,oui,2852.0,5.0,357.0,809.31,500.0
doctorat,Hauts-de-France,non,2490.0,0.0,429.0,648.02,26040.882828038008
aucun,Corse,oui,2251.0,3.0,581.0,1049.02,500.0
bac+2,Provence-Alpes-Côte d’Azur,non,606.0,2.0,779.0,789.0240000000001,500.0
bac,Auvergne-Rhône-Alpes,oui,3188.0,0.0,580.0,871.3340000000001,6150.042727113279
master,Provence-Alpes-Côte d’Azur,non,500.0,1.0,553.0,713.5759999999999,500.0
aucun,Île-de-France,non,3751.0,0.0,580.0,735.2259999999999,20588.76654653692
master,Bretagne,oui,3178.0,0.0,580.0,817.1199999999999,20706.61052436241
aucun,Bretagne,oui,1528.0,5.0,455.0,778.51,500.0
aucun,Normandie,non,2999.0,3.0,637.0,525.36,5645.743153641728
master,Normandie,non,2350.0,1.0,553.0,1133.498,23561.000208170462
doctorat,Bretagne,non,2871.0,3.0,581.0,798.398,1779.1326697419652
aucun,Normandie,oui,2485.0,1.0,401.0,643.1200000000001,500.0
aucun,Auvergne-Rhône-Alpes,non,2671.0,3.0,729.0,639.59,500.0
doctorat,Île-de-France,oui,785.0,3.0,581.0,642.1,500.0
master,Corse,non,3712.0,1.0,452.0,771.05,500.0
bac+2,Auvergne-Rhône-Alpes,non,2322.0,3.0,581.0,921.01,500.0
bac,Bretagne,oui,3454.0,0.0,580.0,723.412,11411.63837833595
bac,Normandie,oui,3728.0,1.0,389.0,837.832,1239.7332161618597
bac+2,Île-de-France,oui,5381.0,2.0,438.0,608.3259999999999,20285.71703516849
bac+2,Provence-Alpes-Côte d’Azur,non,2083.0,5.0,402.0,730.3399999999999,20821.972562863903
bac+2,Île-de-France,non,2790.0,5.0,544.0,770.678,500.0
master,Provence-Alpes-Côte d’Azur,non,2564.0,0.0,580.0,717.2439999999999,21735.303398241387
bac,Bretagne,non,4028.0,0.0,789.0,729.558,18298.694122291112
aucun,Provence-Alpes-Côte d’Azur,non,3465.0,2.0,378.0,910.2760000000001,16018.562486023637
bac+2,Provence-Alpes-Côte d’Azur,non,2562.0,4.0,772.0,900.7119999999999,27460.961336772674
bac+2,Bretagne,non,4361.0,3.0,581.0,849.118,22040.55911743361
master,Hauts-de-France,non,1610.0,1.0,716.0,692.662,500.0
aucun,Normandie,oui,2453.0,0.0,580.0,760.5060000000001,500.0
aucun,Occitanie,oui,2829.0,0.0,661.0,652.2520000000001,7172.698675956677
bac+2,Occitanie,non,2733.0,2.0,577.0,852.542,500.0
master,Provence-Alpes-Côte d’Azur,non,3140.0,5.0,727.0,619.432,25804.57376723502
doctorat,Bretagne,non,3822.0,1.0,716.0,662.0379999999999,9236.974544372835
bac+2,Bretagne,oui,3008.0,0.0,580.0,748.548,16233.503687503098
master,Auvergne-Rhône-Alpes,oui,663.0,2.0,577.0,597.19,7892.259969746159
doctorat,Normandie,oui,3131.0,2.0,577.0,265.2039,7213.026972635107
master,Auvergne-Rhône-Alpes,oui,4499.0,2.0,402.0,1105.118,27757.07286397715
master,Île-de-France,oui,500.0,0.0,544.0,482.6199999999999,18672.718706990217
bac,Corse,oui,1250.0,5.0,557.0,1307.961000000001,500.0
master,Île-de-France,non,3912.0,3.0,581.0,1071.03,30288.82670482222
doctorat,Auvergne-Rhône-Alpes,non,2051.0,1.0,553.0,767.15,35233.927736663914
bac+2,Île-de-France,non,4141.0,4.0,576.0,803.12,10073.290791595377
bac,Normandie,oui,2096.0,0.0,580.0,1129.98,500.0
master,Auvergne-Rhône-Alpes,oui,3634.0,4.0,595.0,1083.536,18094.90172010177
aucun,Provence-Alpes-Côte d’Azur,oui,2303.0,5.0,478.0,1036.642,500.0
bac,Île-de-France,oui,1759.0,1.0,553.0,841.074,10508.958169952964
master,Corse,non,2369.0,5.0,557.0,834.618,500.0
doctorat,Occitanie,non,4653.0,0.0,321.0,645.726,28626.23311421219
aucun,Occitanie,non,2661.0,1.0,553.0,796.7719999999999,500.0
master,Provence-Alpes-Côte d’Azur,non,500.0,2.0,606.0,713.5759999999999,6791.945868893442
bac,Île-de-France,oui,3103.0,1.0,553.0,1204.87,10856.91282140522
doctorat,Hauts-de-France,oui,3922.0,5.0,557.0,1037.66,500.0
bac,Normandie,non,3986.0,4.0,368.0,1289.58,13136.35075059826
doctorat,Corse,oui,5501.0,1.0,628.0,988.994,20069.891635762317
bac,Auvergne-Rhône-Alpes,non,2489.0,3.0,449.0,607.1000000000001,16951.603550852673
bac+2,Auvergne-Rhône-Alpes,oui,1108.0,1.0,553.0,721.398,500.0
master,Hauts-de-France,oui,665.0,0.0,827.0,842.682,500.0
aucun,Occitanie,oui,2843.0,5.0,453.0,768.5260000000001,500.0
bac,Bretagne,oui,1984.0,3.0,451.0,588.21,500.0
bac,Provence-Alpes-Côte d’Azur,non,1503.0,1.0,553.0,902.8380000000001,19262.618653466987
aucun,Bretagne,oui,2882.0,0.0,573.0,767.55,4958.093848446732
bac,Provence-Alpes-Côte d’Azur,non,2260.0,3.0,640.0,683.436,16332.531480122769
bac+2,Auvergne-Rhône-Alpes,oui,1839.0,4.0,546.0,708.818,8834.20723482096
aucun,Bretagne,non,2409.0,1.0,553.0,747.512,500.0
bac+2,Auvergne-Rhône-Alpes,non,500.0,3.0,621.0,906.95,10970.335139378954
master,Bretagne,oui,1631.0,4.0,576.0,742.66,500.0
aucun,Bretagne,non,500.0,4.0,576.0,806.098,13974.147005918265
doctorat,Hauts-de-France,non,3813.0,4.0,608.0,865.5780000000001,21288.389851588887
bac+2,Normandie,non,2944.0,1.0,553.0,873.97,24807.49331799818
bac+2,Hauts-de-France,oui,1787.0,3.0,581.0,650.222,500.0
bac,Corse,non,1627.0,0.0,356.0,678.4,500.0
master,Auvergne-Rhône-Alpes,oui,858.0,0.0,786.0,821.016,3195.0854436875466
doctorat,Provence-Alpes-Côte d’Azur,oui,4252.0,1.0,401.0,803.412,500.0
master,Bretagne,oui,1537.0,3.0,682.0,886.96,25491.392829455865
doctorat,Normandie,non,1131.0,0.0,467.0,671.032,18195.158740213275
bac,Normandie,oui,4589.0,0.0,389.0,718.108,500.0
master,Corse,non,3877.0,2.0,577.0,647.4739999999999,24453.461863581266
aucun,Hauts-de-France,non,1637.0,5.0,591.0,292.94,500.0
doctorat,Occitanie,oui,2274.0,2.0,577.0,923.4939999999999,16434.10507499428
master,Normandie,non,4112.0,3.0,581.0,665.4259999999999,30351.331916078558
master,Provence-Alpes-Côte d’Azur,oui,987.0,0.0,778.0,696.784,13882.841056177624
master,Provence-Alpes-Côte d’Azur,non,1106.0,1.0,559.0,750.434,17470.91347498265
bac,Hauts-de-France,non,716.0,5.0,632.0,638.208,500.0
bac,Hauts-de-France,non,4276.0,0.0,478.0,777.494,16040.427506050592
master,Hauts-de-France,non,3772.0,4.0,386.0,677.904,500.0
doctorat,Île-de-France,oui,657.0,1.0,553.0,741.508,13996.712302238768
aucun,Île-de-France,oui,2686.0,1.0,457.0,975.93,500.0
bac,Normandie,oui,3183.0,5.0,557.0,820.406,11329.728378623
doctorat,Hauts-de-France,non,1175.0,2.0,763.0,641.362,22166.333438067617
bac,Île-de-France,oui,2220.0,3.0,581.0,576.24,5323.233433464113
master,Provence-Alpes-Côte d’Azur,oui,3042.0,2.0,596.0,554.51,34442.777781919875
doctorat,Hauts-de-France,non,2724.0,5.0,557.0,629.2360000000001,18479.79922513718
aucun,Provence-Alpes-Côte d’Azur,non,3136.0,3.0,581.0,353.46,500.0
bac+2,Occitanie,non,4518.0,2.0,834.0,1135.262,22743.289460155636
bac,Auvergne-Rhône-Alpes,non,2321.0,3.0,581.0,921.01,500.0
doctorat,Provence-Alpes-Côte d’Azur,oui,2296.0,1.0,664.0,324.22,26039.1924673522
doctorat,Auvergne-Rhône-Alpes,oui,3720.0,4.0,576.0,683.53,8333.450879489175
doctorat,Auvergne-Rhône-Alpes,non,2507.0,3.0,665.0,590.316,32502.45738968504
master,Provence-Alpes-Côte d’Azur,non,956.0,2.0,577.0,1053.1860000000001,31005.98202931224
bac+2,Auvergne-Rhône-Alpes,non,1236.0,5.0,797.0,621.3720000000001,30334.938442549043
bac+2,Hauts-de-France,oui,770.0,1.0,530.0,735.374,500.0
doctorat,Provence-Alpes-Côte d’Azur,non,1948.0,0.0,580.0,900.086,500.0
bac,Bretagne,non,3307.0,4.0,576.0,937.16,13109.174932150589
bac+2,Normandie,non,1184.0,0.0,580.0,824.708,19058.859948114423
bac+2,Hauts-de-France,non,4327.0,0.0,671.0,802.22,21377.04583434361
doctorat,Auvergne-Rhône-Alpes,oui,2704.0,0.0,443.0,884.836,17229.709250531378
bac,Bretagne,non,2639.0,1.0,553.0,741.266,26010.58630043527
bac+2,Normandie,non,3633.0,1.0,756.0,1002.762,19853.504939045702
bac,Hauts-de-France,oui,3056.0,3.0,780.0,652.5,500.0
bac+2,Hauts-de-France,oui,3801.0,0.0,580.0,682.47,11418.884064746571
aucun,Normandie,oui,3042.0,4.0,576.0,554.51,500.0
master,Occitanie,oui,3145.0,4.0,576.0,874.79,22914.99168546076
bac+2,Bretagne,oui,2599.0,5.0,557.0,1046.914,500.0
bac,Hauts-de-France,oui,4151.0,4.0,576.0,933.358,12190.848654481688
aucun,Hauts-de-France,non,3410.0,5.0,707.0,1014.8,11206.62143586454
doctorat,Normandie,oui,1980.0,0.0,580.0,920.45,500.0
bac+2,Provence-Alpes-Côte d’Azur,non,3250.0,5.0,557.0,1023.518,16924.14431523937
doctorat,Auvergne-Rhône-Alpes,non,1925.0,4.0,674.0,713.958,39179.539908572944
master,Bretagne,non,2918.0,1.0,553.0,1108.38,35674.54425456137
master,Occitanie,non,2603.0,1.0,558.0,773.056,36000.05811992677
bac+2,Corse,non,3866.0,0.0,580.0,712.67,16844.098492553883
master,Occitanie,non,3337.0,2.0,687.0,793.052,32790.127870949305
master,Normandie,non,1655.0,5.0,557.0,851.4739999999999,5177.434130280867
aucun,Corse,non,1954.0,5.0,557.0,814.3120000000001,6366.342859916189
bac,Hauts-de-France,non,2315.0,2.0,749.0,924.6200000000001,17200.94367853948
doctorat,Occitanie,oui,2560.0,0.0,557.0,918.018,20101.202727313528
bac,Corse,oui,1731.0,3.0,581.0,829.0260000000001,500.0
aucun,Île-de-France,non,3665.0,0.0,356.0,1112.17,17977.875617211103
bac+2,Provence-Alpes-Côte d’Azur,non,1815.0,3.0,581.0,547.96,16183.317063799392
aucun,Corse,non,3778.0,0.0,595.0,1054.4919999999997,500.0
master,Auvergne-Rhône-Alpes,non,1581.0,3.0,711.0,870.684,28646.555726940034
master,Occitanie,oui,855.0,3.0,581.0,1001.6380000000001,500.0
bac,Occitanie,oui,1605.0,3.0,568.0,734.0719999999999,4721.270985384865
bac,Île-de-France,non,2490.0,2.0,324.0,607.1,11850.369614690995
doctorat,Normandie,oui,500.0,3.0,754.0,654.534,13519.885861560002
aucun,Bretagne,non,1580.0,5.0,496.0,836.5600000000001,500.0
bac+2,Bretagne,oui,4391.0,5.0,557.0,634.864,500.0
bac+2,Corse,oui,1430.0,5.0,557.0,696.388,500.0
bac+2,Normandie,oui,2868.0,5.0,557.0,656.09,3936.987882199189
doctorat,Hauts-de-France,non,5013.0,3.0,606.0,1102.45,23530.673118409748
bac+2,Île-de-France,oui,1923.0,4.0,576.0,713.958,9548.136652521298
aucun,Bretagne,non,2434.0,1.0,553.0,664.93,15614.34166031232
master,Auvergne-Rhône-Alpes,oui,1564.0,4.0,576.0,400.222,500.0
doctorat,Normandie,non,3815.0,4.0,576.0,803.632,23774.942935441304
doctorat,Hauts-de-France,non,3118.0,2.0,577.0,498.13,34422.793749033444
doctorat,Occitanie,oui,2709.0,0.0,580.0,827.5620000000001,500.0
bac,Île-de-France,oui,4923.0,1.0,720.0,904.94,500.0
bac,Corse,oui,1152.0,5.0,614.0,820.344,500.0
bac,Provence-Alpes-Côte d’Azur,oui,1704.0,2.0,577.0,965.57,9216.207178620856
master,Occitanie,oui,4556.0,1.0,558.0,760.484,14310.105944880894
aucun,Occitanie,oui,2777.0,4.0,576.0,1000.21,500.0
bac,Bretagne,oui,2697.0,2.0,593.0,872.61,4136.961924127789
doctorat,Hauts-de-France,oui,3379.0,3.0,632.0,900.208,500.0
master,Occitanie,oui,963.0,2.0,808.0,825.348,13706.389154946404
bac,Bretagne,non,2101.0,4.0,576.0,1038.872,14866.12069737865
master,Normandie,oui,986.0,5.0,557.0,601.832,500.0
bac+2,Corse,non,2730.0,0.0,306.0,729.298,13357.067779901594
bac+2,Île-de-France,non,2446.0,3.0,581.0,701.9499999999999,500.0
bac,Auvergne-Rhône-Alpes,non,888.0,2.0,684.0,458.53,12878.232973245456
master,Normandie,oui,3122.0,3.0,581.0,520.07,13927.24723130989
master,Bretagne,non,2843.0,0.0,335.0,715.518,7502.270222325245
master,Provence-Alpes-Côte d’Azur,oui,1960.0,5.0,557.0,641.038,500.0
doctorat,Normandie,oui,2752.0,4.0,308.0,519.52,500.0
master,Provence-Alpes-Côte d’Azur,oui,4656.0,2.0,577.0,645.726,2776.0609225830044
master,Normandie,oui,4629.0,3.0,581.0,599.914,500.0
master,Bretagne,non,2403.0,4.0,576.0,981.972,29413.15319571625
bac+2,Hauts-de-France,oui,1570.0,1.0,302.0,524.3100000000001,500.0
aucun,Auvergne-Rhône-Alpes,non,574.0,2.0,577.0,785.8320000000001,500.0
aucun,Corse,oui,2824.0,2.0,577.0,1122.674,500.0
bac,Provence-Alpes-Côte d’Azur,non,2114.0,3.0,581.0,725.822,11307.782559114445
bac+2,Occitanie,oui,1853.0,5.0,557.0,791.276,500.0
master,Normandie,oui,2420.0,2.0,677.0,664.4159999999999,500.0
master,Provence-Alpes-Côte d’Azur,non,859.0,5.0,659.0,922.392,24135.058602084555
bac,Corse,oui,1293.0,0.0,692.0,803.36,500.0
bac,Occitanie,non,3539.0,0.0,580.0,546.456,13612.407133409852
bac+2,Auvergne-Rhône-Alpes,oui,3441.0,3.0,581.0,851.302,8437.208767183267
aucun,Auvergne-Rhône-Alpes,non,1012.0,2.0,719.0,949.92,500.0
aucun,Corse,oui,778.0,1.0,553.0,661.674,500.0
bac,Île-de-France,oui,3265.0,5.0,416.0,599.094,500.0
master,Auvergne-Rhône-Alpes,non,2706.0,5.0,557.0,900.2439999999999,3877.8074054585
doctorat,Normandie,oui,2556.0,2.0,577.0,730.0559999999999,11820.033586900914
doctorat,Normandie,oui,1180.0,3.0,581.0,840.9359999999999,500.0
master,Île-de-France,oui,2399.0,4.0,378.0,894.4619999999999,13779.911053967198
aucun,Hauts-de-France,non,3674.0,3.0,805.0,980.67,3164.246634451308
master,Occitanie,oui,1357.0,5.0,557.0,617.11,11560.70320160385
bac,Île-de-France,non,3264.0,4.0,576.0,599.094,929.7763521751212
doctorat,Bretagne,oui,2582.0,4.0,576.0,782.222,34147.79260060682
aucun,Occitanie,non,1619.0,1.0,553.0,898.284,15302.681075646327
aucun,Hauts-de-France,non,2043.0,1.0,315.0,789.0999999999999,500.0
doctorat,Hauts-de-France,oui,3001.0,5.0,557.0,838.854,18178.48080575543
doctorat,Hauts-de-France,non,2105.0,4.0,576.0,880.0859999999999,23766.373186543675
bac+2,Hauts-de-France,non,500.0,5.0,746.0,837.7660000000002,500.0
doctorat,Normandie,oui,2326.0,4.0,654.0,653.408,11882.756633659226
master,Hauts-de-France,oui,1275.0,3.0,399.0,672.77,500.0
bac,Provence-Alpes-Côte d’Azur,oui,2442.0,0.0,536.0,611.582,10830.209741177352
bac+2,Corse,non,1305.0,2.0,693.0,646.28,10101.05452495821
master,Provence-Alpes-Côte d’Azur,oui,1803.0,0.0,580.0,893.7280000000001,12610.398169813208
bac,Île-de-France,non,2884.0,2.0,550.0,862.4100000000001,19179.76512783229
aucun,Hauts-de-France,oui,1313.0,0.0,580.0,871.0039999999999,500.0
master,Provence-Alpes-Côte d’Azur,non,2623.0,3.0,581.0,1022.6580000000001,26853.928695081147
master,Hauts-de-France,oui,1157.0,3.0,581.0,941.8459999999999,500.0
master,Auvergne-Rhône-Alpes,oui,500.0,0.0,835.0,878.36,500.0
master,Île-de-France,oui,500.0,5.0,362.0,880.78,500.0
bac+2,Corse,non,1929.0,4.0,576.0,534.39,500.0
bac+2,Bretagne,oui,4212.0,0.0,498.0,740.538,7340.3351191521215
bac+2,Normandie,oui,2710.0,2.0,577.0,733.522,8350.020806292578
bac+2,Auvergne-Rhône-Alpes,non,3743.0,4.0,576.0,982.6,500.0
bac+2,Provence-Alpes-Côte d’Azur,non,3637.0,5.0,559.0,1049.57,500.0
bac+2,Auvergne-Rhône-Alpes,non,2399.0,3.0,581.0,960.552,24371.0037136856
doctorat,Provence-Alpes-Côte d’Azur,oui,2735.0,1.0,553.0,699.4440000000001,8307.651250757117
doctorat,Auvergne-Rhône-Alpes,oui,2829.0,2.0,709.0,652.2520000000001,34155.3626437111
bac,Provence-Alpes-Côte d’Azur,oui,1425.0,4.0,576.0,847.4559999999999,500.0
aucun,Corse,non,2765.0,3.0,490.0,750.1600000000001,500.0
doctorat,Corse,non,1239.0,0.0,580.0,660.438,19392.197578300144
doctorat,Bretagne,oui,3498.0,4.0,576.0,702.028,19448.51023941856
bac+2,Auvergne-Rhône-Alpes,non,1742.0,1.0,553.0,753.396,500.0
bac+2,Auvergne-Rhône-Alpes,non,1618.0,4.0,525.0,880.4560000000001,500.0
master,Normandie,non,616.0,1.0,553.0,865.9399999999999,18874.85325054591
aucun,Auvergne-Rhône-Alpes,non,1116.0,5.0,325.0,751.858,500.0
doctorat,Corse,non,1557.0,4.0,714.0,716.0980000000002,14999.72299381132
doctorat,Bretagne,oui,5229.0,2.0,546.0,867.952,31985.810502368557
doctorat,Bretagne,oui,500.0,1.0,439.0,806.098,1554.9784895225127
doctorat,Île-de-France,non,4676.0,2.0,577.0,884.7540000000001,13604.61722709536
master,Auvergne-Rhône-Alpes,oui,2140.0,0.0,603.0,930.36,500.0
doctorat,Île-de-France,non,2846.0,0.0,580.0,745.922,37134.03361326907
doctorat,Île-de-France,non,1799.0,4.0,576.0,644.112,32006.62874522987
doctorat,Corse,oui,2142.0,3.0,581.0,954.79,3738.973660484334
bac+2,Provence-Alpes-Côte d’Azur,non,1433.0,2.0,577.0,818.266,500.0
bac+2,Hauts-de-France,non,1998.0,0.0,332.0,755.63,500.0
doctorat,Occitanie,non,3940.0,3.0,581.0,787.408,39248.30414047689
aucun,Bretagne,non,1848.0,3.0,581.0,854.344,10887.25496705418
master,Île-de-France,oui,2118.0,2.0,306.0,992.732,500.0
bac+2,Auvergne-Rhône-Alpes,non,2824.0,2.0,577.0,1084.51,23709.566990356063
master,Hauts-de-France,oui,3158.0,4.0,576.0,930.796,1105.0090464535544
aucun,Auvergne-Rhône-Alpes,non,2006.0,4.0,576.0,759.5139999999999,15604.632244799475
bac,Bretagne,oui,585.0,5.0,734.0,769.3,500.0
doctorat,Provence-Alpes-Côte d’Azur,oui,4957.0,2.0,577.0,907.21,30889.06847054531
bac,Bretagne,oui,500.0,2.0,577.0,806.098,500.0
aucun,Corse,non,2385.0,1.0,553.0,992.4060000000002,500.0
bac,Île-de-France,non,500.0,5.0,651.0,482.6199999999999,500.0
bac,Normandie,oui,1984.0,2.0,577.0,790.0540000000001,500.0
master,Provence-Alpes-Côte d’Azur,oui,1815.0,0.0,304.0,639.14,8071.638569685192
bac+2,Bretagne,oui,2191.0,0.0,580.0,918.8939999999999,5169.781301290168
aucun,Normandie,oui,1944.0,0.0,836.0,761.2819999999999,500.0
aucun,Provence-Alpes-Côte d’Azur,non,4457.0,3.0,503.0,796.758,19189.51348210835
bac+2,Occitanie,non,2472.0,4.0,576.0,865.6780000000001,1201.466648638526
bac+2,Île-de-France,non,3578.0,4.0,576.0,822.1200000000001,18516.1132155603
aucun,Auvergne-Rhône-Alpes,non,2338.0,5.0,557.0,641.434,500.0
master,Auvergne-Rhône-Alpes,oui,4419.0,5.0,557.0,1307.961000000001,500.0
doctorat,Normandie,oui,3973.0,1.0,553.0,672.8439999999999,572.9266151975784
doctorat,Île-de-France,oui,2986.0,2.0,577.0,623.516,500.0
bac,Occitanie,oui,2804.0,4.0,449.0,688.716,1315.377855211905
bac+2,Auvergne-Rhône-Alpes,non,3485.0,1.0,690.0,484.16,14655.976575182704
doctorat,Auvergne-Rhône-Alpes,non,3397.0,1.0,553.0,689.05,6128.1928851452185
master,Auvergne-Rhône-Alpes,oui,500.0,4.0,576.0,650.918,500.0
master,Bretagne,oui,1441.0,2.0,565.0,1307.961000000001,15677.7412061166
aucun,Corse,oui,2664.0,5.0,557.0,700.76,500.0
bac,Île-de-France,non,2988.0,3.0,304.0,350.82,500.0
aucun,Occitanie,non,957.0,0.0,580.0,837.274,601.5892381444185
aucun,Corse,non,500.0,5.0,557.0,663.35,500.0
master,Bretagne,oui,3167.0,2.0,745.0,987.182,40528.20690293357
bac+2,Provence-Alpes-Côte d’Azur,oui,5037.0,5.0,557.0,852.9119999999999,15236.480650484404
doctorat,Hauts-de-France,oui,1167.0,1.0,553.0,886.734,6054.168117300304
bac+2,Occitanie,non,3190.0,5.0,557.0,622.87,24133.44170721536
master,Île-de-France,non,500.0,1.0,414.0,482.6199999999999,25395.491172086597
master,Normandie,oui,1045.0,4.0,378.0,851.652,500.0
doctorat,Auvergne-Rhône-Alpes,non,4358.0,3.0,581.0,770.2539999999999,13923.371423371214
bac+2,Hauts-de-France,non,2073.0,4.0,576.0,758.0060000000001,7696.4604789687455
master,Provence-Alpes-Côte d’Azur,oui,1430.0,5.0,557.0,696.388,500.0
doctorat,Provence-Alpes-Côte d’Azur,non,1687.0,1.0,337.0,564.27,32244.15268333524
master,Corse,non,4221.0,2.0,533.0,636.0600000000001,500.0
master,Normandie,non,3748.0,0.0,580.0,1069.02,500.0
master,Île-de-France,oui,3576.0,5.0,563.0,970.89,12009.026420338245
master,Hauts-de-France,non,2011.0,3.0,581.0,490.37,500.0
bac+2,Corse,non,4706.0,5.0,557.0,789.8800000000001,12816.893600619926
bac+2,Hauts-de-France,non,500.0,3.0,618.0,837.7660000000002,14621.737792041486
bac+2,Provence-Alpes-Côte d’Azur,oui,2685.0,1.0,605.0,899.958,500.0
aucun,Île-de-France,oui,2328.0,2.0,834.0,739.4480000000001,500.0
master,Corse,non,3028.0,0.0,580.0,1019.082,500.0
master,Corse,non,3776.0,4.0,576.0,1062.1479999999997,500.0
master,Hauts-de-France,non,764.0,2.0,577.0,265.2039,500.0
master,Bretagne,oui,2556.0,5.0,685.0,755.3019999999999,500.0
bac+2,Île-de-France,non,1749.0,1.0,553.0,1186.84,19185.71007451976
master,Corse,non,1893.0,3.0,543.0,930.2859999999998,17360.680783560034
aucun,Île-de-France,oui,3864.0,5.0,557.0,773.194,500.0
aucun,Bretagne,non,3231.0,4.0,691.0,728.232,500.0
master,Île-de-France,non,3571.0,4.0,477.0,986.598,23426.68977199119
master,Île-de-France,non,2400.0,1.0,761.0,938.46,14707.616516937214
aucun,Bretagne,oui,1085.0,1.0,443.0,677.98,500.0
aucun,Auvergne-Rhône-Alpes,non,3509.0,2.0,577.0,800.97,14029.45863955272
master,Occitanie,oui,1160.0,2.0,483.0,938.6439999999999,2328.801471800949
doctorat,Occitanie,non,2660.0,4.0,576.0,796.7719999999999,28321.516227569453
aucun,Normandie,oui,3818.0,1.0,553.0,803.632,8300.46583239124
aucun,Corse,oui,998.0,4.0,524.0,373.25,500.0
aucun,Hauts-de-France,oui,2810.0,2.0,577.0,691.7940000000001,500.0
bac,Auvergne-Rhône-Alpes,non,3958.0,1.0,553.0,589.55,500.0
bac+2,Auvergne-Rhône-Alpes,oui,4040.0,2.0,577.0,750.6,500.0
aucun,Île-de-France,non,2934.0,4.0,576.0,889.6619999999999,500.0
aucun,Île-de-France,non,2291.0,5.0,763.0,855.6540000000001,21728.70265918484
bac+2,Normandie,non,2818.0,5.0,557.0,907.942,500.0
bac,Corse,non,4676.0,1.0,694.0,884.7540000000001,500.0
bac,Corse,oui,3011.0,4.0,576.0,744.5459999999999,500.0
aucun,Occitanie,non,1744.0,1.0,312.0,815.0579999999999,500.0
master,Occitanie,non,2445.0,5.0,557.0,1004.9439999999998,5985.695147366836
bac,Bretagne,non,2387.0,2.0,577.0,885.63,3543.6621585618554
doctorat,Hauts-de-France,non,1597.0,5.0,639.0,1070.724,31268.27702631601
master,Occitanie,oui,1185.0,3.0,581.0,725.73,500.0
master,Bretagne,oui,2951.0,5.0,334.0,1003.1020000000001,20974.301162694257
bac,Provence-Alpes-Côte d’Azur,non,949.0,4.0,576.0,1060.038,13890.4529260375
master,Hauts-de-France,non,2276.0,5.0,489.0,1217.44,500.0
doctorat,Auvergne-Rhône-Alpes,non,3176.0,5.0,313.0,762.4280000000001,46745.60635500457
bac+2,Normandie,oui,4453.0,5.0,534.0,460.01,500.0
bac,Corse,oui,3228.0,0.0,580.0,663.4399999999999,500.0
doctorat,Provence-Alpes-Côte d’Azur,non,3192.0,4.0,576.0,917.8879999999999,30898.12346442135
bac,Provence-Alpes-Côte d’Azur,non,3428.0,5.0,557.0,880.3900000000001,7665.501956720779
bac,Normandie,oui,2879.0,1.0,553.0,904.426,3349.744144557455
aucun,Hauts-de-France,non,2788.0,0.0,580.0,904.808,500.0
bac+2,Hauts-de-France,oui,2334.0,4.0,576.0,806.182,500.0
aucun,Occitanie,non,703.0,5.0,557.0,705.642,579.3974887282877
aucun,Auvergne-Rhône-Alpes,non,1743.0,0.0,580.0,753.396,500.0
aucun,Corse,oui,1490.0,0.0,580.0,708.662,500.0
bac,Bretagne,oui,3465.0,4.0,702.0,910.2759999999998,500.0
bac+2,Île-de-France,oui,2387.0,2.0,739.0,923.6139999999999,500.0
bac+2,Hauts-de-France,non,1650.0,1.0,553.0,738.434,500.0
bac+2,Hauts-de-France,oui,2370.0,3.0,581.0,603.88,500.0
bac+2,Hauts-de-France,oui,3704.0,1.0,425.0,285.41,14884.729405727216
doctorat,Île-de-France,oui,1043.0,4.0,719.0,764.86,13684.953136583248
aucun,Provence-Alpes-Côte d’Azur,oui,1217.0,2.0,682.0,849.732,11529.798741792576
bac,Occitanie,oui,2792.0,2.0,626.0,864.2959999999999,500.0
bac,Corse,non,875.0,3.0,669.0,834.7,500.0
bac+2,Provence-Alpes-Côte d’Azur,oui,1686.0,1.0,553.0,869.756,10086.919320008365
bac+2,Hauts-de-France,oui,1876.0,3.0,581.0,806.184,500.0
bac,Provence-Alpes-Côte d’Azur,non,500.0,3.0,785.0,291.91,13505.520294628031
bac+2,Provence-Alpes-Côte d’Azur,non,1792.0,3.0,581.0,725.52,500.0
