sport_licence,niveau_etude,region,smoker,nb_enfants,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
non,bac+2,Hauts-de-France,oui,-1,3217.0,2.0,501.0,665.47,500.0
non,bac+2,Île-de-France,oui,2,3045.0,1.0,582.0,740.662,500.0
oui,bac+2,Bretagne,oui,1,1670.0,3.0,624.0,657.02,2831.5895548925146
oui,bac,Bretagne,oui,0,1506.0,5.0,578.0,774.3919999999999,6593.485156219487
oui,master,Corse,oui,1,2667.0,4.0,573.0,857.1939999999998,500.0
non,bac,Île-de-France,oui,0,2418.0,3.0,575.0,748.978,500.0
oui,master,Provence-Alpes-Côte d’Azur,oui,3,3097.0,5.0,578.0,631.43,27102.117228571933
non,doctorat,Hauts-de-France,oui,0,2625.0,0.0,335.0,526.35,500.0
oui,doctorat,Hauts-de-France,oui,2,3522.0,1.0,582.0,733.844,19771.874964484865
non,bac,Auvergne-Rhône-Alpes,oui,4,4015.0,1.0,582.0,680.866,10647.63964134318
oui,bac+2,Corse,oui,0,1876.0,5.0,823.0,792.752,500.0
oui,bac,Corse,oui,0,4442.0,4.0,658.0,779.7819999999999,500.0
non,master,Corse,non,1,500.0,4.0,573.0,822.03,500.0
non,bac+2,Corse,non,3,3141.0,1.0,487.0,630.8480000000001,4996.262412302819
oui,doctorat,Normandie,non,3,2187.0,3.0,566.0,864.1940000000001,40308.4631177707
non,bac,Provence-Alpes-Côte d’Azur,oui,0,2179.0,2.0,828.0,681.808,500.0
oui,master,Bretagne,oui,1,2228.0,4.0,599.0,775.0060000000001,500.0
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,1,4017.0,4.0,769.0,677.326,500.0
oui,aucun,Auvergne-Rhône-Alpes,oui,3,3323.0,3.0,575.0,704.216,6037.616276070013
oui,doctorat,Provence-Alpes-Côte d’Azur,non,2,3272.0,5.0,578.0,815.704,42081.65950043509
oui,aucun,Hauts-de-France,non,1,1075.0,2.0,570.0,734.7239999999999,500.0
non,aucun,Normandie,non,1,551.0,5.0,353.0,539.32,500.0
oui,aucun,Auvergne-Rhône-Alpes,oui,2,1405.0,1.0,726.0,871.3520000000001,4718.113824115361
non,bac+2,Corse,oui,0,1478.0,0.0,560.0,926.09,500.0
non,doctorat,Corse,non,1,1446.0,4.0,573.0,293.956,500.0
non,bac,Hauts-de-France,oui,2,1892.0,2.0,328.0,597.7360000000001,500.0
non,bac+2,Corse,non,3,2563.0,2.0,570.0,770.912,500.0
oui,aucun,Occitanie,oui,2,1584.0,5.0,578.0,594.634,500.0
non,doctorat,Provence-Alpes-Côte d’Azur,oui,2,2295.0,0.0,560.0,466.09,16898.215986631894
non,master,Normandie,non,2,2461.0,1.0,582.0,808.708,15595.351645770275
non,bac,Provence-Alpes-Côte d’Azur,non,0,980.0,4.0,573.0,782.0,500.0
non,master,Occitanie,oui,0,500.0,2.0,570.0,965.86,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,non,0,2942.0,1.0,546.0,738.512,500.0
oui,doctorat,Bretagne,non,0,1514.0,2.0,415.0,814.58,500.0
non,master,Occitanie,non,0,3079.0,3.0,682.0,628.476,11133.001424903705
non,bac+2,Île-de-France,non,2,2805.0,1.0,582.0,853.842,21106.772224193308
oui,master,Provence-Alpes-Côte d’Azur,oui,0,4272.0,3.0,826.0,560.8480000000001,500.0
oui,master,Provence-Alpes-Côte d’Azur,non,1,4132.0,3.0,360.0,326.09,37420.18448370056
oui,bac+2,Île-de-France,oui,2,3095.0,3.0,602.0,828.7540000000001,500.0
non,bac,Bretagne,non,0,4068.0,1.0,582.0,636.5600000000001,12612.744886685874
oui,aucun,Provence-Alpes-Côte d’Azur,oui,1,4293.0,0.0,560.0,813.838,6573.283808472922
oui,doctorat,Bretagne,non,0,3253.0,2.0,457.0,750.69,6578.03555118649
oui,master,Hauts-de-France,oui,1,821.0,5.0,578.0,859.9979999999999,2821.663093628245
non,aucun,Corse,oui,4,1648.0,3.0,625.0,592.2760000000001,500.0
non,bac+2,Occitanie,non,3,1466.0,2.0,570.0,857.774,500.0
oui,bac,Normandie,non,1,3212.0,0.0,560.0,567.05,2246.2040969922264
oui,bac,Provence-Alpes-Côte d’Azur,non,2,3877.0,3.0,359.0,875.406,38196.9516308764
oui,aucun,Normandie,oui,2,3553.0,1.0,582.0,813.3240000000001,500.0
non,bac+2,Île-de-France,non,2,2006.0,1.0,514.0,755.7160000000001,500.0
oui,doctorat,Occitanie,non,3,3348.0,2.0,321.0,790.92,34845.52056695998
non,doctorat,Normandie,oui,0,3287.0,4.0,573.0,855.5199999999999,5786.740345157061
oui,bac,Provence-Alpes-Côte d’Azur,oui,0,1666.0,3.0,575.0,881.69,500.0
oui,master,Provence-Alpes-Côte d’Azur,oui,4,2586.0,1.0,582.0,762.4119999999999,28955.74581778889
oui,master,Auvergne-Rhône-Alpes,non,2,2326.0,5.0,522.0,992.5539999999999,34240.644668094326
oui,bac,Auvergne-Rhône-Alpes,oui,2,1524.0,3.0,433.0,875.75,8510.641264490181
oui,doctorat,Île-de-France,non,4,1078.0,2.0,570.0,906.3979999999999,51060.40784192535
oui,bac,Île-de-France,oui,1,1875.0,5.0,745.0,792.752,29594.515884665238
oui,bac,Corse,oui,2,1330.0,3.0,518.0,1131.718,500.0
non,aucun,Normandie,non,-1,935.0,1.0,582.0,608.56,500.0
non,master,Corse,oui,1,4230.0,2.0,369.0,698.8539999999999,500.0
non,master,Île-de-France,oui,1,1079.0,3.0,350.0,1030.74,500.0
non,bac,Hauts-de-France,non,0,2080.0,1.0,530.0,1082.056,500.0
oui,bac+2,Occitanie,non,1,2901.0,3.0,704.0,950.3,500.0
non,bac+2,Provence-Alpes-Côte d’Azur,oui,-1,3141.0,1.0,582.0,617.576,500.0
non,master,Île-de-France,non,0,2139.0,4.0,573.0,654.872,500.0
non,bac,Provence-Alpes-Côte d’Azur,oui,1,4636.0,1.0,582.0,879.1480000000001,7455.710805702508
non,bac+2,Hauts-de-France,oui,4,2839.0,4.0,573.0,618.988,12893.598253297478
oui,bac,Provence-Alpes-Côte d’Azur,oui,-1,1000.0,1.0,582.0,927.808,500.0
non,master,Hauts-de-France,non,4,1484.0,5.0,490.0,760.452,500.0
non,bac+2,Provence-Alpes-Côte d’Azur,non,3,2189.0,5.0,578.0,947.9720000000001,19004.470083571745
oui,master,Île-de-France,non,-1,3943.0,1.0,582.0,1109.61,19837.88660875396
oui,doctorat,Hauts-de-France,non,3,516.0,4.0,352.0,974.62,6032.00011757569
non,bac+2,Hauts-de-France,non,3,1583.0,4.0,845.0,432.226,24680.0774507181
non,bac+2,Provence-Alpes-Côte d’Azur,non,2,1145.0,5.0,578.0,802.926,4572.9136259025045
non,master,Corse,non,2,4063.0,3.0,647.0,727.866,14775.276950172578
non,bac+2,Auvergne-Rhône-Alpes,oui,3,3888.0,0.0,665.0,784.164,6825.6829304939
non,master,Provence-Alpes-Côte d’Azur,non,2,3433.0,5.0,518.0,929.2139999999999,33065.25263911418
non,doctorat,Auvergne-Rhône-Alpes,non,4,1134.0,5.0,758.0,656.72,33557.52188218835
non,aucun,Provence-Alpes-Côte d’Azur,oui,2,500.0,3.0,575.0,870.742,500.0
non,bac+2,Bretagne,non,3,2877.0,5.0,538.0,845.588,23492.83364915572
non,doctorat,Île-de-France,non,2,4083.0,1.0,522.0,768.19,27440.992085421065
non,bac+2,Île-de-France,non,0,1793.0,5.0,578.0,700.278,6629.420420056964
oui,master,Hauts-de-France,oui,1,2424.0,1.0,582.0,747.92,500.0
oui,bac,Hauts-de-France,non,4,2311.0,2.0,587.0,937.4040000000001,31541.944905132237
non,doctorat,Île-de-France,oui,2,3038.0,5.0,628.0,977.2700000000001,500.0
non,doctorat,Normandie,non,3,2176.0,3.0,575.0,687.0400000000001,5450.047586189319
non,aucun,Provence-Alpes-Côte d’Azur,oui,0,2419.0,0.0,560.0,1298.3356,500.0
oui,doctorat,Normandie,non,3,2547.0,1.0,582.0,974.742,37226.874318259936
oui,master,Occitanie,non,1,2311.0,0.0,685.0,836.356,21794.37831965035
oui,doctorat,Île-de-France,oui,1,2995.0,2.0,570.0,834.2139999999999,500.0
non,master,Bretagne,oui,3,1290.0,2.0,570.0,1054.5,13025.14462242449
oui,master,Corse,oui,0,3695.0,3.0,575.0,951.086,500.0
oui,master,Île-de-France,oui,2,3913.0,3.0,452.0,573.5,6715.61537709786
non,bac,Hauts-de-France,oui,0,3129.0,5.0,810.0,818.9060000000001,500.0
non,aucun,Auvergne-Rhône-Alpes,non,4,500.0,2.0,570.0,842.04,500.0
non,bac+2,Auvergne-Rhône-Alpes,non,1,1457.0,2.0,570.0,1136.31,500.0
non,master,Hauts-de-France,oui,1,1810.0,5.0,614.0,674.266,3500.557576010081
oui,bac,Île-de-France,non,0,5257.0,5.0,578.0,1171.71,500.0
non,aucun,Bretagne,oui,4,3717.0,0.0,577.0,735.546,10383.823143375228
non,aucun,Hauts-de-France,non,2,500.0,5.0,542.0,675.4100000000001,500.0
oui,aucun,Hauts-de-France,non,1,2523.0,0.0,560.0,878.8280000000001,5463.838884794415
oui,master,Normandie,non,3,2042.0,1.0,582.0,633.154,31524.824994830004
oui,bac+2,Occitanie,non,3,2313.0,1.0,630.0,811.932,21209.767171711654
oui,aucun,Normandie,oui,0,3070.0,5.0,557.0,1175.8,500.0
non,bac,Normandie,oui,1,3439.0,2.0,570.0,793.08,500.0
non,master,Provence-Alpes-Côte d’Azur,oui,1,2860.0,2.0,438.0,601.652,500.0
non,bac+2,Île-de-France,non,3,1089.0,4.0,331.0,945.1479999999999,9854.969839738727
oui,aucun,Auvergne-Rhône-Alpes,non,3,3826.0,4.0,573.0,562.108,17034.78333874209
non,doctorat,Hauts-de-France,non,0,829.0,2.0,570.0,682.4739999999999,500.0
oui,bac,Bretagne,non,1,3432.0,4.0,573.0,827.6700000000001,500.0
non,doctorat,Occitanie,oui,2,2281.0,2.0,732.0,544.41,3486.6993100519944
non,bac,Île-de-France,non,2,1201.0,4.0,573.0,937.9379999999999,19350.647648909504
non,bac,Bretagne,oui,5,500.0,3.0,575.0,464.49399999999997,6475.156153333484
oui,master,Auvergne-Rhône-Alpes,oui,0,3118.0,1.0,434.0,812.6,9533.14406366308
non,doctorat,Auvergne-Rhône-Alpes,non,0,3528.0,5.0,578.0,663.782,16014.71620420976
non,bac,Provence-Alpes-Côte d’Azur,oui,2,500.0,4.0,848.0,870.742,3920.802343532031
oui,doctorat,Auvergne-Rhône-Alpes,oui,2,3604.0,3.0,515.0,583.38,32721.068897569305
oui,bac+2,Île-de-France,oui,3,4107.0,0.0,522.0,704.39,24216.57511217492
oui,doctorat,Bretagne,non,0,3539.0,0.0,560.0,747.6279999999999,25905.941031637856
non,doctorat,Bretagne,oui,2,3393.0,2.0,570.0,664.17,3973.117689104547
oui,master,Île-de-France,oui,0,2312.0,3.0,451.0,576.59,19604.61050237008
non,bac,Bretagne,oui,2,2767.0,2.0,570.0,800.428,4735.506150272061
non,aucun,Corse,oui,1,3436.0,4.0,573.0,908.652,500.0
oui,master,Hauts-de-France,oui,0,3695.0,1.0,582.0,940.87,4604.910372466635
oui,aucun,Île-de-France,oui,3,2188.0,4.0,486.0,775.8879999999999,15638.627138770684
oui,bac,Hauts-de-France,oui,3,500.0,0.0,502.0,675.4100000000001,500.0
oui,aucun,Occitanie,oui,0,3722.0,1.0,392.0,738.532,500.0
non,bac+2,Normandie,non,1,2919.0,4.0,817.0,1267.52,500.0
non,bac+2,Corse,oui,2,2080.0,1.0,582.0,1043.11,500.0
oui,aucun,Occitanie,oui,2,794.0,4.0,573.0,476.22799999999995,500.0
non,aucun,Hauts-de-France,non,2,3685.0,1.0,302.0,910.698,500.0
non,master,Bretagne,oui,3,2513.0,2.0,570.0,760.1780000000001,1781.1275821825484
oui,master,Normandie,non,1,1151.0,3.0,800.0,939.3900000000001,26998.421826954
non,master,Normandie,oui,2,3224.0,3.0,464.0,646.976,500.0
non,master,Auvergne-Rhône-Alpes,non,0,2422.0,3.0,831.0,614.042,16920.48060456624
non,master,Occitanie,oui,3,1450.0,0.0,819.0,497.98999999999995,500.0
non,aucun,Occitanie,non,0,2861.0,0.0,389.0,445.42800000000005,500.0
oui,bac+2,Normandie,non,2,1722.0,5.0,562.0,1137.42,14892.577252226496
oui,master,Corse,non,1,4176.0,3.0,575.0,726.604,15627.706691694066
oui,aucun,Hauts-de-France,oui,0,3506.0,0.0,560.0,789.546,500.0
oui,doctorat,Hauts-de-France,non,3,2750.0,4.0,573.0,441.59,16523.76395930069
oui,master,Occitanie,non,2,2602.0,5.0,338.0,667.448,16355.90655215893
non,doctorat,Auvergne-Rhône-Alpes,oui,3,500.0,5.0,463.0,842.04,500.0
non,doctorat,Île-de-France,oui,4,500.0,1.0,582.0,675.32,500.0
non,doctorat,Provence-Alpes-Côte d’Azur,non,2,3999.0,5.0,562.0,664.7760000000001,10444.075135209612
oui,bac,Hauts-de-France,oui,3,2495.0,1.0,753.0,649.68,14865.335014598111
non,bac,Auvergne-Rhône-Alpes,oui,1,1928.0,2.0,570.0,657.9199999999998,500.0
non,master,Corse,non,3,3713.0,0.0,657.0,741.0200000000001,500.0
oui,bac,Occitanie,oui,0,1704.0,3.0,575.0,447.99,500.0
non,bac+2,Provence-Alpes-Côte d’Azur,oui,2,2170.0,3.0,365.0,842.3059999999999,3043.513291368942
non,bac,Provence-Alpes-Côte d’Azur,non,1,4287.0,3.0,575.0,616.6279999999999,5572.389723945767
non,doctorat,Île-de-France,non,0,2412.0,4.0,573.0,1281.03,500.0
non,master,Corse,oui,4,1985.0,3.0,401.0,956.99,500.0
oui,bac,Bretagne,non,0,4203.0,3.0,564.0,812.14,5892.762293643281
oui,master,Bretagne,oui,0,1543.0,4.0,573.0,976.5559999999999,9301.26896513782
oui,aucun,Provence-Alpes-Côte d’Azur,non,2,2992.0,5.0,570.0,851.3059999999999,19991.65239752223
non,bac+2,Île-de-France,non,2,3035.0,2.0,570.0,967.9199999999998,16890.512301637198
oui,bac,Normandie,non,0,665.0,5.0,578.0,921.0060000000001,500.0
oui,aucun,Auvergne-Rhône-Alpes,oui,2,3075.0,0.0,560.0,260.35810000000004,500.0
oui,bac+2,Corse,oui,2,1763.0,0.0,810.0,591.738,1225.8505268763674
oui,aucun,Corse,non,2,5062.0,1.0,439.0,799.884,8069.101379912342
oui,master,Auvergne-Rhône-Alpes,non,3,3252.0,5.0,578.0,879.8860000000001,13015.662047007962
non,bac,Normandie,oui,2,3319.0,0.0,483.0,405.31,500.0
oui,doctorat,Occitanie,non,1,2623.0,4.0,819.0,943.6479999999999,29465.015569620777
non,aucun,Bretagne,oui,0,3992.0,1.0,591.0,783.04,500.0
oui,bac,Bretagne,oui,2,3574.0,2.0,570.0,359.96,500.0
non,bac,Île-de-France,oui,1,3967.0,5.0,578.0,571.11,500.0
oui,master,Normandie,non,0,2101.0,2.0,570.0,684.62,17069.27744268564
oui,bac+2,Auvergne-Rhône-Alpes,oui,3,4331.0,3.0,665.0,603.378,47433.08839002554
oui,bac,Île-de-France,non,4,2784.0,0.0,560.0,883.1020000000001,26682.727052126305
oui,master,Provence-Alpes-Côte d’Azur,non,0,3780.0,0.0,685.0,613.574,28127.002076331035
non,doctorat,Bretagne,non,1,750.0,4.0,573.0,659.3620000000001,20429.494276792346
oui,bac+2,Hauts-de-France,oui,3,1297.0,4.0,385.0,664.104,500.0
non,doctorat,Occitanie,non,-1,2431.0,3.0,575.0,614.762,3695.682344012468
oui,bac,Auvergne-Rhône-Alpes,non,2,3656.0,1.0,582.0,754.4480000000001,30542.93476217789
oui,bac,Corse,non,0,500.0,1.0,582.0,1261.83,2669.522462637283
oui,aucun,Normandie,non,2,4621.0,5.0,605.0,614.8100000000001,31884.527833777403
non,doctorat,Hauts-de-France,non,2,3100.0,2.0,570.0,928.836,15027.299612234465
oui,doctorat,Auvergne-Rhône-Alpes,non,2,1779.0,1.0,559.0,849.628,45081.857426346505
non,aucun,Normandie,non,2,1455.0,5.0,357.0,753.984,500.0
non,bac+2,Provence-Alpes-Côte d’Azur,non,0,2426.0,3.0,575.0,827.068,5866.375322067914
non,bac,Hauts-de-France,oui,1,3482.0,4.0,603.0,610.0699999999999,1437.0735569086846
non,master,Normandie,non,4,3118.0,1.0,582.0,812.6,23885.07008411928
oui,bac,Hauts-de-France,oui,0,1689.0,2.0,570.0,785.0780000000001,500.0
oui,bac,Occitanie,non,1,4105.0,1.0,582.0,925.72,500.0
oui,doctorat,Auvergne-Rhône-Alpes,non,1,1187.0,3.0,491.0,1009.2880000000001,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,2,2733.0,2.0,566.0,1084.53,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,3,2060.0,1.0,559.0,810.1600000000001,500.0
oui,master,Occitanie,non,1,2552.0,5.0,578.0,765.376,31950.332444709336
oui,bac,Bretagne,non,3,1803.0,3.0,575.0,951.47,11631.873091826385
oui,bac,Bretagne,non,2,3009.0,4.0,701.0,547.6,3794.441145924668
non,aucun,Île-de-France,non,5,4861.0,4.0,573.0,674.0160000000001,500.0
non,master,Normandie,non,0,1351.0,0.0,560.0,763.302,500.0
non,bac,Bretagne,oui,2,3187.0,5.0,671.0,680.7239999999999,12215.732423840973
oui,bac+2,Occitanie,oui,2,2741.0,0.0,365.0,855.5840000000001,500.0
non,aucun,Île-de-France,oui,1,3068.0,5.0,578.0,727.438,4651.647352436719
non,bac+2,Île-de-France,non,2,785.0,2.0,756.0,826.372,21197.901976377645
oui,doctorat,Auvergne-Rhône-Alpes,non,1,3739.0,5.0,657.0,933.99,12758.391436261789
non,master,Corse,non,4,2922.0,4.0,361.0,1132.828,21431.228825016853
non,bac,Hauts-de-France,oui,3,2171.0,3.0,575.0,910.092,500.0
oui,bac,Hauts-de-France,non,2,3361.0,0.0,560.0,658.766,11054.66510616586
oui,aucun,Provence-Alpes-Côte d’Azur,oui,0,1745.0,5.0,578.0,1021.222,500.0
oui,bac+2,Auvergne-Rhône-Alpes,non,2,2123.0,3.0,575.0,610.9159999999999,500.0
oui,bac+2,Hauts-de-France,non,4,3048.0,2.0,328.0,608.6360000000001,500.0
oui,bac+2,Auvergne-Rhône-Alpes,non,1,1986.0,2.0,570.0,798.178,500.0
oui,aucun,Hauts-de-France,oui,3,3983.0,0.0,611.0,701.766,1258.528342916013
oui,aucun,Auvergne-Rhône-Alpes,non,3,2164.0,4.0,573.0,1026.294,12337.348938416131
non,bac,Hauts-de-France,oui,1,2637.0,1.0,582.0,775.082,500.0
non,bac+2,Corse,oui,0,4394.0,2.0,549.0,919.618,500.0
oui,master,Île-de-France,oui,0,1818.0,3.0,568.0,716.392,3854.049163303653
oui,aucun,Île-de-France,non,2,2506.0,5.0,578.0,1101.46,500.0
oui,bac,Auvergne-Rhône-Alpes,oui,3,5256.0,0.0,560.0,731.7279999999998,28655.07992648522
non,bac,Occitanie,non,0,2648.0,0.0,611.0,786.7800000000001,500.0
non,aucun,Corse,non,0,2810.0,4.0,573.0,952.7,500.0
oui,bac,Île-de-France,non,0,2272.0,4.0,414.0,875.8280000000001,500.0
non,bac+2,Provence-Alpes-Côte d’Azur,non,0,2008.0,5.0,578.0,726.206,500.0
non,master,Occitanie,oui,3,1455.0,0.0,560.0,753.984,8064.808244219179
non,master,Île-de-France,oui,2,3363.0,0.0,560.0,296.76,20678.61450724826
non,doctorat,Corse,oui,3,4003.0,4.0,386.0,834.558,13155.428347854566
non,bac+2,Auvergne-Rhône-Alpes,non,2,3343.0,0.0,595.0,689.482,500.0
oui,bac+2,Corse,non,2,1119.0,2.0,495.0,884.7119999999999,500.0
oui,bac,Normandie,non,1,2028.0,3.0,707.0,726.424,500.0
oui,bac,Auvergne-Rhône-Alpes,oui,3,1627.0,4.0,817.0,634.7,500.0
non,bac+2,Île-de-France,non,1,2885.0,1.0,582.0,944.948,500.0
non,aucun,Bretagne,oui,3,2777.0,0.0,600.0,1271.79,500.0
non,aucun,Occitanie,non,0,3287.0,3.0,575.0,809.5440000000001,500.0
oui,master,Corse,non,5,2987.0,1.0,319.0,507.66,29215.79678315661
non,bac,Corse,oui,2,1081.0,3.0,494.0,933.278,500.0
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2,1867.0,5.0,746.0,880.958,4901.236620025581
non,doctorat,Hauts-de-France,oui,1,4824.0,5.0,611.0,948.1120000000001,500.0
non,bac+2,Corse,oui,2,874.0,4.0,573.0,728.1999999999999,500.0
non,bac,Corse,non,2,500.0,1.0,337.0,822.03,500.0
non,aucun,Auvergne-Rhône-Alpes,non,2,3305.0,2.0,375.0,748.6220000000001,500.0
non,bac+2,Occitanie,oui,1,4824.0,2.0,432.0,917.4799999999999,500.0
non,doctorat,Hauts-de-France,oui,2,1409.0,1.0,558.0,952.868,2014.5136120725572
non,bac+2,Normandie,non,0,500.0,5.0,751.0,671.494,500.0
non,bac,Auvergne-Rhône-Alpes,oui,3,1549.0,4.0,348.0,772.568,500.0
non,master,Hauts-de-France,non,3,3435.0,2.0,555.0,929.2139999999999,500.0
non,bac+2,Bretagne,non,2,2186.0,3.0,754.0,632.08,23132.753800186
non,bac+2,Hauts-de-France,oui,1,3059.0,4.0,573.0,892.684,500.0
oui,bac+2,Bretagne,oui,0,2942.0,1.0,631.0,738.512,500.0
non,master,Normandie,non,2,3533.0,2.0,730.0,724.8720000000001,2393.147300840205
non,doctorat,Auvergne-Rhône-Alpes,oui,2,1239.0,2.0,577.0,820.0239999999998,500.0
non,doctorat,Occitanie,non,3,2594.0,1.0,582.0,995.966,33122.330826984384
oui,bac,Occitanie,non,2,2552.0,1.0,708.0,765.376,500.0
oui,bac+2,Normandie,non,0,1629.0,0.0,560.0,700.4559999999999,500.0
oui,master,Île-de-France,non,3,1324.0,3.0,664.0,951.3280000000001,26536.06776850291
oui,master,Bretagne,oui,1,2950.0,1.0,582.0,824.8539999999999,500.0
oui,doctorat,Normandie,non,0,3444.0,3.0,575.0,920.9959999999999,500.0
non,doctorat,Normandie,non,3,2864.0,5.0,834.0,704.85,4283.3968060204015
non,master,Hauts-de-France,oui,2,1079.0,5.0,675.0,706.318,500.0
non,aucun,Provence-Alpes-Côte d’Azur,oui,2,2688.0,2.0,821.0,723.2479999999999,500.0
oui,aucun,Occitanie,non,2,1141.0,0.0,560.0,577.59,500.0
oui,bac,Normandie,oui,2,2653.0,2.0,570.0,708.228,500.0
non,bac,Normandie,oui,0,2130.0,2.0,570.0,881.8340000000001,500.0
oui,aucun,Auvergne-Rhône-Alpes,oui,2,4241.0,1.0,582.0,685.1960000000001,6132.640932032761
non,bac+2,Provence-Alpes-Côte d’Azur,non,0,2329.0,2.0,341.0,781.396,500.0
oui,bac,Hauts-de-France,non,1,3055.0,0.0,560.0,866.3380000000001,14568.334208978857
non,aucun,Hauts-de-France,non,1,1873.0,0.0,560.0,772.5919999999999,500.0
non,aucun,Provence-Alpes-Côte d’Azur,non,2,1915.0,5.0,629.0,632.804,500.0
oui,bac+2,Normandie,non,0,1702.0,5.0,807.0,680.854,500.0
non,bac,Île-de-France,non,0,3179.0,4.0,565.0,891.5840000000001,500.0
oui,master,Corse,oui,0,2689.0,3.0,407.0,805.854,500.0
oui,doctorat,Corse,oui,2,686.0,5.0,578.0,761.7760000000001,9216.185210538626
non,aucun,Corse,non,1,1760.0,0.0,808.0,591.738,500.0
non,bac+2,Hauts-de-France,non,2,2443.0,2.0,459.0,745.49,7415.059575490243
oui,aucun,Hauts-de-France,oui,2,3755.0,0.0,357.0,813.656,500.0
non,bac,Hauts-de-France,non,1,1581.0,4.0,459.0,480.18199999999996,500.0
non,master,Hauts-de-France,oui,0,3311.0,1.0,620.0,720.238,500.0
oui,aucun,Bretagne,non,2,2894.0,1.0,582.0,738.99,19997.993739770194
non,bac,Auvergne-Rhône-Alpes,non,0,3532.0,4.0,573.0,366.47,500.0
oui,aucun,Corse,oui,4,3065.0,3.0,683.0,844.85,500.0
non,bac,Hauts-de-France,non,2,3378.0,3.0,575.0,661.116,800.5745518760953
oui,master,Corse,oui,0,3754.0,5.0,657.0,600.706,8146.447318694534
oui,bac,Corse,oui,2,2495.0,1.0,369.0,649.68,500.0
oui,aucun,Provence-Alpes-Côte d’Azur,non,3,4073.0,0.0,549.0,928.7040000000001,22125.460079431432
oui,bac+2,Hauts-de-France,oui,2,1457.0,0.0,560.0,753.984,7375.093772070519
oui,bac,Provence-Alpes-Côte d’Azur,non,0,978.0,4.0,433.0,892.3299999999999,500.0
non,aucun,Occitanie,oui,2,3837.0,2.0,558.0,1035.63,10438.667166566089
non,master,Occitanie,oui,0,3335.0,1.0,723.0,933.3800000000001,500.0
non,aucun,Corse,oui,0,743.0,5.0,758.0,820.5380000000001,500.0
oui,bac,Hauts-de-France,non,2,1468.0,1.0,673.0,595.68,500.0
non,master,Auvergne-Rhône-Alpes,oui,1,2295.0,1.0,462.0,1004.62,500.0
non,bac,Île-de-France,oui,1,4358.0,0.0,560.0,687.644,9413.634247066258
oui,bac,Auvergne-Rhône-Alpes,oui,3,3328.0,0.0,560.0,787.2900000000001,500.0
non,bac,Provence-Alpes-Côte d’Azur,oui,4,2404.0,1.0,582.0,837.52,794.6722189576033
oui,bac+2,Provence-Alpes-Côte d’Azur,oui,2,947.0,4.0,439.0,773.904,500.0
non,bac,Normandie,non,0,4448.0,0.0,841.0,748.5199999999999,1293.9693614724792
non,bac+2,Provence-Alpes-Côte d’Azur,oui,3,1277.0,5.0,690.0,715.872,7119.504374535662
oui,bac,Auvergne-Rhône-Alpes,non,1,2833.0,0.0,560.0,902.34,519.7994652920358
oui,aucun,Hauts-de-France,oui,-1,2778.0,1.0,582.0,824.314,500.0
oui,bac+2,Corse,non,4,1680.0,1.0,582.0,804.324,12520.379879086186
non,aucun,Auvergne-Rhône-Alpes,oui,2,3381.0,3.0,575.0,790.392,500.0
non,doctorat,Bretagne,non,1,3599.0,2.0,570.0,454.038,27720.17606832052
oui,bac,Provence-Alpes-Côte d’Azur,non,2,1735.0,1.0,485.0,677.408,25952.3449595525
oui,master,Corse,oui,4,738.0,5.0,578.0,826.2059999999999,500.0
non,master,Auvergne-Rhône-Alpes,oui,0,4674.0,0.0,560.0,1268.73,500.0
oui,bac,Île-de-France,non,1,3348.0,5.0,799.0,683.558,21990.33273809692
oui,bac,Provence-Alpes-Côte d’Azur,non,0,2246.0,0.0,560.0,613.9,18552.96427769639
non,master,Auvergne-Rhône-Alpes,non,0,2861.0,5.0,578.0,274.09,500.0
oui,bac+2,Île-de-France,non,1,598.0,5.0,604.0,930.1279999999999,14026.77335016689
oui,bac,Corse,oui,0,2381.0,2.0,509.0,721.304,500.0
non,master,Auvergne-Rhône-Alpes,oui,2,2494.0,1.0,582.0,1201.04,500.0
non,master,Normandie,oui,1,5247.0,3.0,575.0,731.7279999999998,12208.85731291188
oui,master,Hauts-de-France,non,0,3812.0,3.0,575.0,1033.026,500.0
oui,doctorat,Provence-Alpes-Côte d’Azur,oui,1,1643.0,2.0,575.0,881.6259999999999,500.0
non,bac+2,Bretagne,non,2,500.0,4.0,573.0,464.49399999999997,6881.368867476603
oui,doctorat,Hauts-de-France,oui,3,1759.0,3.0,634.0,845.19,22299.28300878073
non,master,Occitanie,non,3,2771.0,2.0,639.0,625.0,32060.02533454872
oui,bac,Occitanie,non,1,1153.0,0.0,483.0,1006.1119999999999,5653.637804126459
non,doctorat,Provence-Alpes-Côte d’Azur,oui,0,2600.0,4.0,573.0,537.232,7054.437303650374
oui,aucun,Normandie,non,0,2335.0,5.0,578.0,816.46,1294.557322138523
oui,aucun,Bretagne,non,2,1899.0,2.0,570.0,507.2679999999999,8766.12800220621
non,master,Corse,oui,2,1865.0,1.0,558.0,780.3159999999999,500.0
